Total Counts,Casual User Count,Member User Count,Classic Bike Count,Electric Bike Count,bus,rail_boardings,total_rides,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
54973,5861,49112,0,0,4917062,4430486,9347548,18.8,-11.7,49.0,0.8,0.0,1908.0,117.9,0.0,7163.3,0.0
29227,2378,26849,0,0,4477295,4215010,8692305,-19.799999999999997,-46.3,8.499999999999998,7.2,229.0,1684.0,108.7,0.0,7182.0,0.0
48260,4248,44012,0,0,4903968,4523531,9427499,29.8,8.8,52.7,14.0,0.0,1751.0,93.7,0.0,7090.2,0.0
27924,3133,24791,0,0,3698943,3124812,6823755,32.1,9.5,58.3,23.799999999999997,0.0,1237.0,123.30000000000001,0.0,7081.3,0.0
46994,3821,43173,0,0,4944263,4355226,9299489,17.1,-8.9,41.1,0.0,0.0,1431.0,114.6,0.0,7113.2,0.0
37467,2370,35097,0,0,4706857,4124754,8831611,-5.8999999999999995,-38.9,16.0,0.8,0.0,1385.0,113.5,0.0,7122.9,0.0
35773,3017,32756,0,0,4526476,3930274,8456750,-5.6,-34.5,26.0,0.3,0.0,1564.0,101.2,0.0,7178.5,0.0
27474,6629,20845,0,0,3044310,2343671,5387981,53.1,15.5,86.7,25.700000000000003,0.0,1208.0,103.0,0.0,7109.3,0.0
26229,368,5129,0,0,3386555,2852309,6238864,9.600000000000001,-13.299999999999999,36.7,4.0,25.0,1831.0,150.0,0.0,7060.7,0.0
35051,0,0,0,0,4422548,3855062,8277610,7.800000000000001,-22.1,34.6,49.1,50.0,787.0,137.6,0.0,7138.3,0.0
31479,0,0,0,0,4516858,4082911,8599769,-19.7,-50.5,4.499999999999999,16.0,151.0,1412.0,135.2,0.0,7182.2,0.0
25173,0,0,0,0,4302928,3794956,8097884,-6.5,-22.1,10.0,13.700000000000001,100.0,1527.0,99.19999999999999,0.0,7152.299999999999,0.0
40070,0,0,0,0,4710668,4087387,8798055,9.3,-2.8000000000000003,23.299999999999997,1.5,0.0,1487.0,83.2,0.0,7120.7,0.0
32361,0,0,0,0,4733863,4034452,8768315,-1.1102230246251565e-16,-21.2,17.7,9.2,227.0,872.0,130.8,0.0,7097.5,0.0
28513,0,0,0,0,4573500,4021151,8594651,-30.3,-66.1,3.400000000000001,7.3,406.0,1928.0,103.7,0.0,7158.6,0.0
39585,0,0,0,0,4569824,3903000,8472824,-3.299999999999999,-38.8,29.9,5.6,0.0,1740.0,124.2,0.0,7187.0,0.0
37918,0,0,0,0,4709017,4028530,8737547,2.0,-23.400000000000002,24.4,5.4,177.0,1464.0,143.8,0.0,7118.6,0.0
57229,0,0,0,0,4805067,4056864,8861931,36.7,1.2000000000000002,74.4,0.0,0.0,1848.0,137.4,0.0,7122.400000000001,0.0
41686,0,0,0,0,4307386,3487909,7795295,39.7,16.0,64.4,25.4,0.0,977.0,130.1,0.0,7155.4,0.0
17914,0,0,0,0,2111583,1144449,3256032,26.8,5.5,58.3,31.0,76.0,1277.0,105.5,0.0,7173.3,0.0
15616,0,0,0,0,1350064,646099,1996163,48.7,21.2,86.1,17.8,0.0,985.0,106.3,0.0,7087.3,0.0
3560,0,0,0,0,1372555,606845,1979400,50.2,21.1,87.2,3.3,0.0,944.0,101.8,0.0,7138.0,0.0
13609,3344,10265,0,0,1372555,606845,1979400,50.2,21.1,87.2,3.3,0.0,944.0,101.8,0.0,7138.0,0.0
22798,6801,15997,0,0,1272223,547816,1820039,79.7,42.7,123.4,32.7,0.0,1400.0,115.7,0.0,7070.2,0.0
18829,5337,13492,0,0,1326069,501092,1827161,31.799999999999997,1.7999999999999998,67.3,13.0,0.0,1744.0,134.9,0.0,7119.1,0.0
20341,5803,14538,0,0,1398969,490723,1889692,60.699999999999996,33.4,95.5,21.8,0.0,827.0,115.7,0.0,7084.1,0.0
35175,13721,21454,0,0,1530243,509280,2039523,99.6,52.9,141.6,78.7,0.0,1646.0,115.3,0.0,7073.2,0.0
26491,9125,17366,0,0,1549232,508910,2058142,57.8,25.0,87.3,17.299999999999997,0.0,1297.0,125.1,0.0,7124.6,0.0
33111,12572,20539,0,0,1537801,501597,2039398,97.1,65.5,135.7,179.6,0.0,1234.0,102.89999999999999,0.0,7118.8,0.0
49876,21292,28584,0,0,1594929,530215,2125144,120.4,92.80000000000001,153.3,18.799999999999997,0.0,639.0,95.8,0.0,7099.0,0.0
64820,32542,32278,0,0,1501779,496915,1998694,151.6,121.0,187.2,9.7,0.0,1113.0,98.4,0.0,7110.5,0.0
51309,23508,27801,0,0,1325677,424677,1750354,164.3,126.6,201.0,0.3,0.0,1249.0,107.8,0.0,7091.7,0.0
