service_date,day_type,bus,rail_boardings,total_rides
05/24/2018,W,813320,757935,1571255
05/25/2018,W,797393,730669,1528062
05/26/2018,A,474011,472471,946482
05/27/2018,U,382202,375810,758012
05/28/2018,U,364119,325534,689653
05/29/2018,W,797433,716137,1513570
05/30/2018,W,793348,716886,1510234
05/31/2018,W,819988,753062,1573050
06/01/2018,W,851045,773824,1624869
06/02/2018,A,496149,437154,933303
06/03/2018,U,383320,342776,726096
06/04/2018,W,820746,726476,1547222
06/05/2018,W,826465,778366,1604831
06/06/2018,W,820198,778486,1598684
06/07/2018,W,821694,798516,1620210
06/08/2018,W,779201,766692,1545893
06/09/2018,A,464236,475218,939454
06/10/2018,U,332042,339387,671429
06/11/2018,W,781557,724255,1505812
06/12/2018,W,807427,750111,1557538
06/13/2018,W,783799,759987,1543786
06/14/2018,W,795923,754502,1550425
06/15/2018,W,775628,735211,1510839
06/16/2018,A,472932,441274,914206
06/17/2018,U,351730,324959,676689
06/18/2018,W,742447,722983,1465430
06/19/2018,W,779092,768531,1547623
06/20/2018,W,741682,763084,1504766
06/21/2018,W,628563,683599,1312162
06/22/2018,W,669210,689577,1358787
06/23/2018,A,487366,452638,940004
06/24/2018,U,382787,515034,897821
06/25/2018,W,730834,709948,1440782
06/26/2018,W,714896,717661,1432557
06/27/2018,W,734332,744015,1478347
06/28/2018,W,751395,758891,1510286
06/29/2018,W,748648,755938,1504586
06/30/2018,A,473766,468103,941869
07/01/2018,U,353385,329670,683055
07/02/2018,W,734869,678249,1413118
07/03/2018,W,771705,716848,1488553
07/04/2018,U,384885,366963,751848
07/05/2018,W,652746,615715,1268461
07/06/2018,W,720068,699130,1419198
07/07/2018,A,485369,439367,924736
07/08/2018,U,376335,346489,722824
07/09/2018,W,742452,704612,1447064
07/10/2018,W,766160,742163,1508323
07/11/2018,W,772083,765257,1537340
07/12/2018,W,755211,766466,1521677
07/13/2018,W,753196,784018,1537214
07/14/2018,A,471688,455259,926947
07/15/2018,U,380142,378006,758148
07/16/2018,W,731999,700335,1432334
07/17/2018,W,768143,739651,1507794
07/18/2018,W,770336,745511,1515847
07/19/2018,W,765291,780813,1546104
07/20/2018,W,721413,762815,1484228
07/21/2018,A,469280,483657,952937
07/22/2018,U,339813,357484,697297
07/23/2018,W,742296,746950,1489246
07/24/2018,W,766503,775343,1541846
07/25/2018,W,763505,768014,1531519
07/26/2018,W,758033,781151,1539184
07/27/2018,W,729506,741794,1471300
07/28/2018,A,484064,453186,937250
07/29/2018,U,374591,354824,729415
07/30/2018,W,718899,721661,1440560
07/31/2018,W,733107,729861,1462968
08/01/2018,W,778530,757280,1535810
08/02/2018,W,743458,861954,1605412
08/03/2018,W,765341,831628,1596969
08/04/2018,A,480664,521622,1002286
08/05/2018,U,368543,423810,792353
08/06/2018,W,688147,687412,1375559
08/07/2018,W,710000,702495,1412495
08/08/2018,W,737497,726837,1464334
08/09/2018,W,725134,727089,1452223
08/10/2018,W,728844,757214,1486058
08/11/2018,A,498035,485775,983810
08/12/2018,U,372421,371962,744383
08/13/2018,W,705028,681926,1386954
08/14/2018,W,722447,739143,1461590
08/15/2018,W,710743,720004,1430747
08/16/2018,W,720279,712077,1432356
08/17/2018,W,702584,697625,1400209
08/18/2018,A,493509,469340,962849
08/19/2018,U,380140,357318,737458
08/20/2018,W,668029,672736,1340765
08/21/2018,W,714668,705759,1420427
08/22/2018,W,747818,711067,1458885
08/23/2018,W,751380,748147,1499527
08/24/2018,W,692290,698828,1391118
08/25/2018,A,472537,437488,910025
08/26/2018,U,358918,344736,703654
08/27/2018,W,751100,740835,1491935
08/28/2018,W,751236,764285,1515521
08/29/2018,W,752668,767691,1520359
08/30/2018,W,776906,780357,1557263
